tag,sentence
O,ASX
O,ANNOUNCEMENT
O,15
O,March
O,2021
O,REVERSE
O,CIRCULATION
O,DRILLING
O,RESULTS
O,Shoots
O,7
O,&
O,8
O,ALLIANCE
O,RESOURCES
O,LTD
O,Weednanna
O,Au-Fe
O,Deposit
O,ASX
O,:
O,AGS
O,ABN
O,:
O,38
O,063
O,293
O,336
O,RC
O,drilling
O,identifies
O,extensions
O,to
O,high-grade
O,gold
O,in
O,Shoots
O,7
O,and
O,8
O,at
O,the
O,Weednanna
O,Au-Fe
O,Deposit.
O,Market
O,Cap
O,:
O,$35.4M
O,@
O,$0.17
O,Significant
O,assay
O,results
O,include
O,:
O,Shares
O,on
O,issue
O,:
O,208
O,","
O,017
O,","
O,134
B-E,•
B-D,8m
B-E,@
B-P,5.2
I-P,g/t
B-M,Au
B-E,from
B-D,92m
B-E,in
B-H,20WDRC083
O,(
O,Shoot
O,7
O,)
O,Principal
O,Office
O,:
B-E,•
B-D,11m
B-E,@
B-P,3.2
I-P,g/t
B-M,Au
B-E,from
B-D,84m
B-E,in
B-H,20WDRC085
O,(
O,Shoot
O,7
O,)
O,Suite
O,3
O,","
O,51-55
O,City
O,Road
O,Southbank
O,Victoria
O,3006
O,including
O,1m
O,@
O,20.0
O,g/t
O,Au
O,from
O,88m
O,AUSTRALIA
B-E,•
B-D,9m
B-E,@
B-P,15.6
I-P,g/t
B-M,Au
B-E,from
B-D,85m
B-E,in
B-H,20WDRC091
O,(
O,Shoot
O,7
O,)
O,Tel
O,:
O,+61
O,3
O,9697
O,9090
O,Fax
O,:
O,+61
O,3
O,9697
O,9091
O,including
O,4m
O,@
O,33.4
O,g/t
O,Au
O,from
O,87m
B-E,•
B-D,6m
B-E,@
B-P,4.3
I-P,g/t
B-M,Au
B-E,from
B-D,104m
B-E,in
B-H,20WDRC092
O,(
O,Shoot
O,7
O,)
O,Email
O,:
O,info@allianceresources.com.au
B-E,•
B-D,3m
B-E,@
B-P,5.5
I-P,g/t
B-M,Au
B-E,from
B-D,67m
O,(
O,Shoot
O,8HW
O,)
O,and
B-D,3m
B-E,@
B-P,9.1
I-P,g/t
B-M,Au
B-E,from
B-D,76m
B-E,in
B-H,20WDRC075
O,(
O,Shoot
O,8
O,)
O,Web
O,:
O,www.allianceresources.com.au
O,Assay
O,results
O,are
O,expected
O,to
O,increase
O,the
O,Indicated
O,gold
O,resource
O,in
O,the
O,central
O,area
O,of
O,the
O,deposit.
O,Projects
O,:
O,Potential
O,to
O,increase
O,the
O,size
O,of
O,Shoots
O,7
O,and
O,8
O,with
O,further
O,Wilcherry
O,","
O,SA
O,(
O,100%
O,)
O,:
O,gold
O,","
O,iron
O,","
O,drilling.
O,base
O,metals
O,","
O,graphite
O,Nepean
O,","
O,WA
O,(
O,100%
O,)
O,:
O,Alliance
O,Resources
O,Ltd
O,(
O,Alliance
O,)
O,is
O,pleased
O,to
O,announce
O,assay
O,results
O,for
O,gold-nickel
O,the
O,latest
O,RC
O,drilling
O,campaign
O,completed
O,at
O,the
O,Weednanna
O,Au-Fe
O,Kalgoorlie
O,Sth
O,","
O,WA
O,(
O,100%
O,)
O,:
O,Deposit
O,(
O,Weednanna
O,)
O,","
O,located
O,45
O,km
O,north
O,of
O,Kimba
O,on
O,the
O,Eyre
O,gold-nickel
O,Peninsula
O,","
O,South
O,Australia.
O,Share
O,Registry
O,:
O,During
O,November
O,and
O,December
O,2020
O,","
O,19
O,RC
O,holes
O,for
O,3
O,","
O,098
O,metres
O,Computershare
O,Investor
O,Services
O,were
O,drilled
O,at
O,Shoots
O,7
O,and
O,8
O,to
O,define
O,the
O,limits
O,of
O,gold
O,in
O,the
O,central
O,GPO
O,Box
O,2975
O,area
O,of
O,the
O,deposit.
O,Drilling
O,was
O,completed
O,using
O,a
O,20
O,metre
O,by
O,25
O,metre
O,Melbourne
O,Victoria
O,3001
O,spaced
O,drilling
O,pattern
O,to
O,identify
O,extensions
O,to
O,gold
O,for
O,classification
O,in
O,AUSTRALIA
O,the
O,Indicated
O,resource
O,category
O,Tel
O,:
O,1300
O,850
O,505
O,Fax
O,:
O,+61
O,3
O,9473
O,2500
O,The
O,results
O,from
O,this
O,drilling
O,program
O,have
O,confirmed
O,extensions
O,to
O,high-
O,grade
O,gold
O,at
O,Shoots
O,7
O,and
O,8
O,(
O,See
O,figures
O,1
O,to
O,4
O,)
O,that
O,are
O,expected
O,to
O,increase
O,the
O,Indicated
O,gold
O,resource.
O,Gold
O,at
O,both
O,shoots
O,remains
O,unconstrained
O,by
O,drilling
O,in
O,at
O,least
O,one
O,direction.
O,Most
O,of
O,the
O,gold
O,is
O,located
