tag,sentence
O,ASX
O,RELEASE
O,29
O,JULY
O,2021
O,ASX
O,:
O,NES
O,y
O,l
O,n
O,EXCITING
O,GOLD
O,RESULTS
O,AT
O,SOCRATES
O,oHigh
O,Grade
O,Shallow
O,Gold
O,Results
O,including
B-D,2m
B-E,@
B-P,9.13g/t
O,demonstrate
O,the
O,strong
O,potential
O,of
O,the
O,Socrates
O,Project
O,Highlights
O,:
O,e
O,
O,The
O,first
O,of
O,the
O,Socrates
O,RC
O,drilling
O,results
O,have
O,now
O,been
O,returned
O,including
O,a
O,high-grade
O,intercept
O,of
B-D,5m
B-E,@
B-P,4.33g/t
B-M,Au
B-E,from
B-D,47m
B-E,;
I-E,incl.
B-D,2m
B-E,@
B-P,9.13g/t
B-M,Au
B-E,from
B-D,49m
O,;
O,s
O,
O,Exploration
O,RC
O,pre-collar
O,fence
O,to
O,the
O,north
O,of
O,Socrates
O,has
O,also
O,identified
B-M,Au
O,anomalism
O,with
O,diamond
O,u
O,tails
O,planned
O,to
O,confirm
O,the
O,plunge
O,and
O,dip
O,of
O,the
O,gold
O,bearing
O,structure
O,;
O,
O,Deeper
O,Diamond
O,holes
O,designed
O,to
O,identify
O,structural
O,controls
O,are
O,nearing
O,completion
O,at
O,Socrates
O,with
O,additional
O,RC
O,fences
O,due
O,for
O,completion
O,in
O,the
O,coming
O,weeks.
O,l
O,aNelson
O,Resources
O,Limited
O,(
O,ASX
O,:
O,NES
O,)
O,(
O,Nelson
O,or
O,the
O,Company
O,)
O,is
O,pleased
O,to
O,provide
O,an
O,exploration
O,update
O,for
O,its
O,100%
O,owned
O,Woodline
O,project
O,in
O,the
O,Fraser
O,Range
O,","
O,Western
O,Australia.
O,n
O,RC
O,drilling
O,at
O,the
O,Socrates
O,Project
O,(
O,Northern
O,most
O,project
O,within
O,the
O,Woodline
O,Project
O,)
O,is
O,targeting
O,infill
O,and
O,extensions
O,to
O,the
O,north
O,and
O,south
O,of
O,previous
O,significant
O,drilling
O,results
O,(
O,Annexure
O,1
O,)
O,and
O,will
O,test
O,two
O,parallel
O,ostructures
O,to
O,the
O,east
O,and
O,west
O,identified
O,by
O,previous
O,drilling
O,and
O,a
O,geophysics
O,survey
O,undertaken
O,in
O,late
O,2020.
O,The
O,first
O,of
O,these
O,results
O,has
O,delivered
O,new
O,high
O,grade
O,gold
O,intercepts
O,including
O,SOC
O,:
B-H,SDRC133
B-E,with
B-D,5m
B-E,@
B-P,4.33g/t
B-M,Au
B-E,from
B-D,47m
B-E,;
I-E,incl.
B-D,2m
B-E,@
B-P,9.13g/t
B-M,Au
B-E,from
B-D,49m
O,reported.
O,The
O,mineralisation
O,is
O,open
O,at
O,depth
O,and
O,down
O,s
O,plunge
O,and
O,the
O,Company
O,is
O,currently
O,undertaking
O,drilling
O,on-section
O,","
O,at
O,depth
O,below
O,SDRC133
O,(
O,Figure
O,1
O,)
O,.
O,rA
O,fence
O,of
O,drilling
O,to
O,the
O,north
O,of
O,Socrates
O,is
O,targeting
O,the
O,structural
O,plunge
O,which
O,has
O,also
O,successfully
O,intersected
O,anomalous
O,gold
O,mineralisation
O,and
O,alteration
O,at
O,a
O,shallower
O,depth
O,than
O,anticipated.
O,These
O,holes
O,e
O,are
O,now
O,being
O,followed
O,up
O,with
O,extensions
O,to
O,the
O,RC
O,holes
O,with
O,further
O,RC
O,and/or
O,diamond
O,tails
O,designed
O,to
O,intercept
O,the
O,gold
O,system
O,at
O,depth
O,and
O,to
O,show
O,the
O,structural
O,controls.
O,p
O,Drilling
O,fences
O,to
O,the
O,south
O,of
O,Socrates
O,will
O,also
O,commence
O,shortly
O,and
O,are
O,planned
O,to
O,identify
O,the
O,position
O,of
O,the
O,southerly
O,extension
O,to
O,the
O,Socrates
O,gold
O,system
O,below
O,shallow
O,cover.
O,Figure
O,3
O,shows
O,Loupe
O,Data
O,showing
O,the
O,interpreted
O,fault
O,and
O,the
O,potential
O,extensions
O,to
O,the
O,gold
O,mineralised
O,system
O,to
O,the
O,North
O,and
O,r
O,South.
O,o
O,Commenting
O,on
O,the
O,results
O,","
O,Nelson
O,’
O,s
O,Executive
O,Director
O,and
O,CEO
O,","
O,Adam
O,Schofield
O,said
O,:
O,“
O,The
O,Company
O,is
O,very
O,pleased
O,with
O,initial
O,RC
O,results
O,at
O,its
O,current
O,drilling
O,program
O,at
O,Socrates.
O,F
O,The
O,drilling
O,program
O,is
O,designed
O,to
O,test
O,the
O,continuity
O,of
O,the
O,gold
O,bearing
O,system
O,and
O,the
O,Northern
O,plunge
O,of
O,the
O,structure.
O,What
O,is
O,most
O,pleasing
O,is
O,the
O,5m
O,@
O,4.33g/t
O,Au
O,from
O,47m
O,;
O,incl.
O,2m
O,@
O,9.13g/t
O,Au
O,from
O,49m
O,intercept.
O,This
O,identifies
O,high
O,grade
O,gold
O,at
O,a
O,shallower
O,depth
O,than
O,anticipated
O,and
O,further
O,east
O,than
O,expected.
O,This
O,has
O,positive
O,ramifications
O,for
O,the
O,Company
O,’
O,s
O,understanding
O,of
O,the
O,gold
O,bearing
O,system
O,at
O,Socrates
O,and
O,opens
O,up
O,a
O,number
O,of
O,new
O,drill
O,target
O,locations.
O,With
O,the
O,current
O,drilling
O,program
O,the
O,Company
O,is
O,confident
O,it
O,will
O,be
O,able
O,to
O,begin
O,delineating
O,a
O,gold
O,resource
O,at
O,Socrates
O,towards
O,the
O,end
O,of
O,the
O,year
O,”
O,.
O,CAPITAL
O,STRUCTURE
O,BOARD
O,LAST
O,CAPITAL
O,RAISE
O,O
O,RDINARY
O,SHARES
O,Executive
O,Director
O,-
O,Adam
O,Schofield
O,January
O,2021
O,Is
O,sued
O,145
O,","
O,473
O,","
O,192
O,Non-Executive
O,Chairman
O,-
O,Warren
O,Hallam
O,Placement
O,OPTIONS
O,Non-Executive
O,Director
O,-
O,Stephen
O,Brockhurst
O,$2.15m
O,@
O,7.5c
O,Listed
O,options
O,33
O,","
O,299
O,","
O,895
O,Company
O,Secretary
O,-
O,Stephen
O,Brockhurst
O,Unlisted
O,options
O,15
O,","
O,189
O,","
O,458
O,Technical
O,Discussion
O,y
O,The
O,Company
O,has
O,received
O,results
O,from
O,six
O,RC
O,drill
O,holes
O,","
O,523
O,m
O,of
O,drilling
O,","
O,from
O,Socrates.
O,l
O,nDrill
O,hole
B-H,SDRC133
O,returned
O,significant
O,results
O,of
B-D,5m
B-E,at
B-P,4.33g/t
B-M,Au
B-E,from
B-D,47m
B-E,","
I-E,including
B-D,2m
B-E,at
B-P,9.13g/t
B-M,Au
B-E,from
B-D,49m
O,(
O,Figure
O,1
O,","
O,Figure
O,2
O,)
O,.
O,The
O,drill
O,hole
O,is
O,located
O,approximately
