tag,sentence
O,21
O,February
O,2019
O,HIGH-GRADE
O,GOLD
O,RESULTS
O,UPGRADE
O,FARR-JONES
O,POTENTIAL
O,
O,New
O,gold
O,results
O,from
O,Farr-Jones
O,and
O,Eales
O,prospects
O,
O,High-grade
O,assays
O,up
O,to
B-D,1m
B-E,@
B-P,6.72g/t
B-M,Au
O,(
B-H,FJAC0007
O,–
O,North
O,Farr-Jones
O,)
O,Riversgold
O,Limited
O,(
O,ASX
O,:
O,RGL
O,","
O,“
O,Riversgold
O,”
O,)
O,is
O,pleased
O,to
O,advise
O,that
O,it
O,has
O,received
O,a
O,number
O,of
O,new
O,high-grade
O,gold
O,results
O,","
O,up
O,to
B-D,1m
B-E,@
B-P,6.72g/t
B-M,Au
O,","
O,from
O,its
O,Farr-Jones
O,gold
O,prospect
O,(
O,RGL
O,80%
O,)
O,in
O,the
O,Eastern
O,Goldfields
O,of
O,Western
O,Australia.
O,Resampling
O,of
O,1m
O,samples
O,from
O,the
O,most
O,recent
O,aircore
O,programme
O,and
O,analysis
O,by
O,fire
O,assay
O,has
O,upgraded
O,the
O,aircore
O,intersections
O,at
O,the
O,Farr-Jones
O,and
O,Eales
O,prospects
O,as
O,follows
O,:
O,
B-H,FJAC0002
O,(
O,Farr-Jones
O,)
B-E,o
B-D,4m
B-E,@
B-P,0.73g/t
B-M,Au
B-E,from
B-D,49m
B-E,(
I-E,including
B-D,1m
B-E,@
B-P,1.49g/t
B-M,Au
O,)
B-E,o
B-D,2m
B-E,@
B-P,1.42g/t
B-M,Au
B-E,from
B-D,58m
B-E,(
I-E,including
B-D,1m
B-E,@
B-P,2.15g/t
B-M,Au
O,)
B-E,
B-H,FJAC0007
O,(
O,North
O,Farr-Jones
O,)
B-E,o
B-D,1m
B-E,@
B-P,1.76g/t
B-M,Au
B-E,from
B-D,45m
B-E,o
B-D,6m
B-E,@
B-P,2.03g/t
B-M,Au
B-E,from
B-D,85m
B-E,(
I-E,including
B-D,1m
B-E,@
B-P,6.72g/t
B-M,Au
B-E,and
B-D,1m
B-E,@
B-P,2.8g/t
B-M,Au
O,)
B-E,
B-H,FJAC0012
O,(
O,Eales
O,)
B-E,o
B-D,3m
B-E,@
B-P,1.92g/t
B-M,Au
B-E,from
B-D,56m
B-E,(
I-E,including
B-D,1m
B-E,@
B-P,3.04g/t
B-M,Au
O,)
B-E,
B-H,FJAC0015
O,(
O,Eales
O,)
B-E,o
B-D,4m
B-E,@
B-P,1.11g/t
B-M,Au
B-E,from
B-D,39m
B-E,(
I-E,including
B-D,1m
B-E,@
B-P,3.02g/t
B-M,Au
O,)
O,Re-analysis
O,of
O,samples
O,from
O,the
O,Little
O,prospect
O,are
O,pending.
O,Riversgold
O,’
O,s
O,Managing
O,Director
O,","
O,Mr
O,Allan
O,Kelly
O,","
O,said
O,the
O,new
O,assays
O,indicated
O,the
O,potential
O,for
O,the
O,Farr-
O,Jones
O,project
O,to
O,host
O,economic
O,grades
O,of
O,gold
O,mineralisation
O,over
O,at
O,least
O,the
O,1.5km
O,strike
O,length
O,between
O,the
O,Farr-Jones
O,and
O,Eales
O,prospects.
O,“
O,So
O,far
O,","
O,we
O,have
O,defined
O,high-grade
O,primary
O,gold
O,mineralisation
O,at
O,Farr-Jones
O,and
O,North
O,Farr-Jones
O,","
O,including
O,a
O,fantastic
O,intersection
O,of
O,3m
O,@
O,17.8g/t
O,Au
O,in
O,the
O,first
O,hole
O,we
O,drilled
O,at
O,Farr-Jones
O,","
O,”
O,Mr
O,Kelly
O,said.
O,“
O,Last
O,December
O,","
O,we
O,tested
O,a
O,number
O,of
O,newly
O,defined
O,soil
O,anomalies
O,with
O,aircore
O,drilling
O,for
O,the
O,first
O,time
O,and
O,now
O,have
O,drill
O,intersections
O,greater
O,than
O,3g/t
O,Au
O,in
O,two
O,aircore
O,holes
B-D,200m
O,apart
O,at
O,Eales
O,as
O,well
O,as
O,anomalous
O,supergene
O,gold
O,mineralisation
O,in
O,several
O,other
O,holes.
O,”
O,“
O,The
O,Farr-Jones
O,project
O,","
O,along
O,with
O,additional
O,targets
O,at
O,Cutler
O,and
O,Ella
O,","
O,is
O,shaping
O,up
O,as
O,a
O,potential
O,new
O,gold
O,camp
O,with
O,the
O,opportunity
O,to
O,define
O,numerous
O,gold
O,occurrences
O,adjacent
O,to
O,the
O,Randall
O,Fault
O,","
O,”
O,Mr
O,Kelly
O,said.
O,The
O,Company
O,is
O,planning
O,follow-up
O,drilling
O,at
O,both
O,the
O,Farr-Jones
O,and
O,Cutler
O,prospects
O,","
O,where
O,a
O,high-
O,grade
O,drill
O,intersection
O,of
B-D,1m
B-E,@
B-P,62.9g/t
B-M,Au
O,at
O,the
O,northern
O,end
O,of
O,the
O,Cutler
O,prospect
O,has
O,not
O,yet
O,been
O,followed
O,up
O,(
O,see
O,ASX
O,Release
O,dated
O,25
O,July
O,2018
O,)
O,.
O,For
O,further
O,information
O,please
O,contact
O,:
O,Allan
O,Kelly
O,Michael
O,Vaughan
O,Managing
O,Director
O,Fivemark
O,Partners
