tag,sentence
O,ASX
O,Announcement
O,28
O,April
O,2022
O,MANY
O,PEAKS
O,GOLD
O,LIMITED
O,QUARTERLY
O,ACTIVITIES
O,&
O,CASH
O,FLOW
O,REPORT
O,For
O,the
O,period
O,ending
O,31
O,March
O,2022
O,Quarter
O,Highlights
O,•
O,Trading
O,on
O,ASX
O,commenced
O,16
O,March
O,2022
O,following
O,an
O,oversubscribed
O,$5.5M
O,initial
O,public
O,offering
O,•
O,Drilling
O,commenced
O,on
O,Mt
O,Weary
O,Gold
O,Project
O,within
O,3
O,weeks
O,of
O,listing
O,•
O,Follow-up
O,soil
O,geochemistry
O,programme
O,at
O,Rawlins
O,Project
O,’
O,s
O,Eastern
O,Star
O,prospect
O,completed
O,and
O,follow-up
O,soil
O,survey
O,work
O,initiated
O,at
O,Childs
O,Prospect
O,•
O,$5.1M
O,cash
O,balance
O,at
O,31
O,March
O,2022
O,Subsequent
O,Events
O,•
O,11
O,Reverse
O,Circulation
O,(
O,RC
O,)
O,holes
O,completed
O,for
O,a
O,total
O,of
O,1
O,","
B-D,806m
O,drilled
O,at
O,MPG
O,’
O,s
O,flagship
O,Mt
O,Weary
O,Gold
O,Project
O,in
O,Queensland
O,•
O,Drilling
O,designed
O,to
O,test
O,extensions
O,of
O,mineralisation
O,along
O,prioritised
O,geophysical
O,anomalies
O,Many
O,Peaks
O,Gold
O,Limited
O,(
O,MPG
O,or
O,the
O,Company
O,)
O,is
O,pleased
O,to
O,provide
O,its
O,Quarterly
O,Activities
O,Report
O,for
O,the
O,period
O,ending
O,31
O,March
O,2022.
O,MPG
O,commenced
O,trading
O,on
O,the
O,Australian
O,Securities
O,Exchange
O,(
O,ASX
O,)
O,on
O,16
O,March
O,2022
O,following
O,completion
O,of
O,an
O,oversubscribed
O,initial
O,public
O,offering
O,(
O,IPO
O,)
O,which
O,raised
O,$5.5
O,million
O,through
O,the
O,issue
O,of
O,27.5M
O,shares
O,at
O,an
O,issue
O,price
O,of
O,$0.20
O,per
O,share.
O,With
O,a
O,total
O,38
O,","
O,675
O,","
O,0000
O,shares
O,on
O,issue
O,","
O,the
O,Company
O,listed
O,with
O,a
O,$7.7M
O,market
O,capitalisation
O,and
O,with
O,a
O,pipeline
O,of
O,highly
O,prospective
O,projects
O,backed
O,by
O,an
O,experienced
O,exploration
O,team.
O,MPG
O,has
O,initiated
O,drilling
O,and
O,other
O,exploration
O,activities
O,on
O,the
O,project
O,funded
O,with
O,a
O,strong
O,cash
O,balance
O,of
O,$5.1M
O,at
O,end
O,of
O,the
O,reporting
O,period.
O,MPG
O,is
O,an
O,Australian
O,gold-copper
O,exploration
O,company
O,","
O,focused
O,on
O,progressing
O,it
O,flagship
O,Mt
O,Weary
O,Gold
O,Project
O,(
O,Mt
O,Weary
O,)
O,located
O,in
O,central
O,Queensland.
O,MPG
O,’
O,s
O,initial
O,drilling
O,activity
O,is
O,focussed
O,on
O,Mt
O,Weary
O,","
O,while
O,concurrently
O,advancing
O,the
O,early-stage
O,exploration
O,activities
O,at
O,the
O,adjoining
O,Rawlins
O,Copper-Gold
O,Project
O,(
O,Rawlins
O,)
O,and
O,Monal
O,Gold
O,Project
O,(
O,Monal
O,)
O,areas.
O,Mt
O,Weary
O,Gold
O,Project
O,The
O,Company
O,commenced
O,RC
O,drilling
O,at
O,the
O,end
O,of
O,March
O,2022
O,and
O,has
O,successfully
O,completed
O,a
O,Phase
O,1
O,campaign
O,with
O,11
O,RC
O,holes
O,completed
O,and
O,a
O,total
O,of
O,1
O,","
O,806m
O,drilled
O,at
O,the
O,Company
O,’
O,s
O,flagship
O,project
O,(
O,refer
O,to
O,ASX
O,release
O,dated
O,21
O,April
O,2022
O,)
O,.
O,The
O,Phase
O,1
O,drilling
O,targets
O,chargeability
O,anomalies
O,from
O,induced
O,polarity
O,ground
O,geophysics
O,(
O,IP
O,)
O,.
O,Historical
O,drilling
O,confirmed
O,wide
O,zones
O,of
O,gold
O,mineralisation
O,from
O,surface
O,corresponding
O,to
O,the
O,IP
O,anomalism.
O,Additional
O,ground
O,geophysics
O,and
O,geochemistry
O,work
O,completed
O,in
O,2019
O,expanded
O,geophysical
O,coverage
O,to
O,1.2km
O,extent
O,and
O,defined
O,a
O,3km
O,long
O,corridor
O,of
O,gold
O,anomalism.
O,Follow-up
O,3-D
O,modelling
O,of
O,IP
O,results
O,highlighted
O,several
O,higher
O,tenor
O,chargeability
O,anomalies
O,and
O,the
O,higher
O,tenor
O,IP
O,response
O,was
O,interpreted
O,to
O,host
O,an
O,increasing
O,endowment
O,of
O,sulphide
O,mineralisation.
O,The
O,objective
O,of
O,the
