tag,sentence
O,13
O,October
O,2021
O,FURTHER
O,GOLD
O,SILVER
O,DRILL
O,RESULTS
O,FOR
O,KRAKAUER
O,PROSPECT
O,The
O,Directors
O,of
O,Prospech
O,Limited
O,(
O,‘
O,Prospech
O,’
O,or
O,‘
O,the
O,Company
O,’
O,)
O,(
O,ASX
O,:
O,PRS
O,)
O,are
O,pleased
O,to
O,announce
O,further
O,gold
O,and
O,silver
O,intersections
O,from
O,drilling
O,at
O,the
O,Krakauer
O,vein
O,prospect
O,","
O,within
O,the
O,Nova
O,Bana
O,exploration
O,licence
O,","
O,https
O,:
O,//prospech.com.au/novabana
O,in
O,the
O,Western
O,Slovakian
O,neovolcanic
O,belt.
O,Three
O,new
O,holes
O,are
O,reported
O,below.
O,One
O,additional
O,hole
O,","
B-H,KVDD006
O,","
O,is
O,currently
O,being
O,sampled
O,","
O,with
O,assay
O,results
O,to
O,follow.
O,Previously
O,reported
O,results
O,are
O,in
O,italics.
B-E,•
B-H,KVDD001
B-E,:
B-D,5.0m
I-D,(
I-D,3.8m
I-D,ETW1
I-D,)
B-E,@
B-P,1.89
I-P,g/t
B-M,Au
B-E,and
B-P,28
I-P,g/t
B-M,Ag
B-E,from
B-D,162.8m
B-E,including
B-D,0.5m
I-D,(
I-D,0.4m
I-D,ETW
I-D,)
B-E,@
B-P,6.95
I-P,g/t
B-M,Au
B-E,and
B-P,84
I-P,g/t
B-M,Ag
B-E,from
B-D,163.7m
B-E,•
B-H,KVDD002
B-E,:
B-D,9.0m
I-D,(
I-D,6.9m
I-D,ETW
I-D,)
B-E,@
B-P,1.58
I-P,g/t
B-M,Au
B-E,and
B-P,10
I-P,g/t
B-M,Ag
B-E,from
B-D,170.5m
B-E,including
B-D,0.5m
I-D,(
I-D,0.4m
I-D,ETW
I-D,)
B-E,@
B-P,3.34
I-P,g/t
B-M,Au
B-E,and
B-P,7
I-P,g/t
B-M,Ag
B-E,from
B-D,170.5m
B-E,and
B-D,3.0m
I-D,(
I-D,2.3m
I-D,ETW
I-D,)
B-E,@
B-P,2.19
I-P,g/t
B-M,Au
B-E,and
B-P,4
I-P,g/t
B-M,Ag
B-E,from
B-D,176.5m
B-E,•
B-H,KVDD003
B-E,:
B-D,2.5m
I-D,(
I-D,1.8m
I-D,ETW
I-D,)
B-E,@
B-P,2.12
I-P,g/t
B-M,Au
B-E,and
B-P,35
I-P,g/t
B-M,Ag
B-E,from
B-D,127.7m
B-E,•
B-H,KVDD004
B-E,:
B-D,1.7m
I-D,(
I-D,1.2m
I-D,ETW
I-D,)
B-E,@
B-P,1.12
I-P,g/t
