tag,sentence
O,ASX
O,Announcement
O,20th
O,July
O,2021
O,Drilling
O,Confirms
O,Large
O,Mineralised
O,System
O,at
O,5.5km
O,Long
O,Fairway
O,Trend
O,Highlights
O,:
O,•
O,Drilling
O,continues
O,to
O,define
O,large
O,mineralised
O,system
O,at
O,the
O,Fairway
O,trend
O,which
O,strikes
O,over
O,5.5km
O,from
O,Turnberry
O,to
O,St
O,Anne
O,’
O,s
O,•
O,High
O,grade
O,mineralisation
O,intersected
O,at
O,St
O,Anne
O,’
O,s
O,(
O,same
O,vein
O,style
O,mineralisation
O,as
O,seen
O,at
O,Turnberry
O,)
O,with
O,this
O,contact
O,target
O,interpreted
O,to
O,strike
O,for
O,+800m
O,to
O,the
O,north
O,of
O,high-grade
O,drill
O,intersection
O,:
B-E,o
B-D,5.0m
B-E,@
B-P,6.77g/t
B-M,Au
B-E,from
B-D,103m
B-E,in
B-H,21GNRC0010
O,•
O,Broad
O,intercepts
O,in
O,the
O,deeply
O,weathered
O,regolith
O,at
O,St
O,Anne
O,’
O,s
O,with
O,quartz
O,veining
O,and
O,pyrite
O,alteration
O,(
O,as
O,seen
O,at
O,Turnberry
O,)
O,:
B-E,o
B-D,11.0m
B-E,@
B-P,0.74g/t
B-M,Au
B-E,from
B-D,104m
B-E,including
B-D,4.0m
B-E,@
B-P,1.30g/t
B-M,Au
B-E,in
B-H,21GNRC0007
B-E,o
B-D,6.0m
B-E,@
B-P,0.37g/t
B-M,Au
B-E,from
B-D,144m
B-E,in
B-H,21GNRC0004
O,•
O,Importantly
O,dolerite
O,","
O,which
O,is
O,a
O,key
O,host
O,of
O,mineralisation
O,at
O,Turnberry
O,","
O,was
O,intersected
O,in
O,fresh
O,rock
O,below
O,the
O,mineralisation
O,at
O,St
O,Anne
O,’
O,s
O,providing
O,an
O,excellent
O,target
O,for
O,Phase
O,2
O,drilling
O,•
O,Southern
O,extension
O,of
O,Turnberry
O,intersected
O,with
O,multiple
O,drill
O,holes
O,in
O,highly
O,weathered
O,oxide
O,zone
O,•
O,Wide
O,zone
O,of
O,quartz-tourmaline-arsenopyrite-pyrite
O,mineralisation
O,intersected
O,within
O,a
O,shear
O,zone
O,at
O,the
O,Bunarra
O,Prospect
O,:
B-E,o
B-D,18.0m
B-E,@
B-P,1.15g/t
B-M,Au
B-E,from
B-D,235m
B-E,including
B-D,2.0m
B-E,@
B-P,5.41g/t
B-M,Au
B-E,in
B-H,21BNRC0010
B-E,o
B-D,6.0m
B-E,@
B-P,1.32g/t
B-M,Au
B-E,from
B-D,20m
B-E,including
B-D,1.0m
B-E,@
B-P,4.87g/t
B-M,Au
B-E,in
B-H,21BNRC0009
O,•
O,Mineralised
O,intercepts
O,in
O,mafic
O,volcanic
O,and
O,granite
O,with
O,galena
O,observed
O,at
O,the
O,Far
O,East
O,Prospect
O,:
B-E,o
B-D,4.0m
B-E,@
B-P,2.66g/t
B-M,Au
B-E,from
B-D,51m
B-E,including
B-D,1.0m
B-E,@
B-P,9.01g/t
B-M,Au
B-E,in
B-H,21CWRC0001
B-E,o
B-D,2.0m
B-E,@
B-P,2.39g/t
B-M,Au
B-E,from
B-D,58m
B-E,including
B-D,1.0m
B-E,@
B-P,4.51g/t
B-M,Au
B-E,in
B-H,21CWRC0004
O,(
O,galena
O,observed
O,in
O,chips
O,)
O,Latitude
O,Consolidated
O,Limited
O,(
O,ASX
O,:
O,LCD
O,)
O,(
O,“
O,Latitude
O,”
O,or
O,“
O,the
O,Company
O,”
O,)
O,is
O,pleased
O,to
O,report
O,further
O,assay
O,results
O,from
O,the
O,Phase
O,1
O,drill
O,program
O,at
O,the
O,Company
O,’
O,s
O,Murchison
O,Gold
O,Project
O,in
O,Western
O,Australia.
O,This
O,release
O,relates
O,to
O,drilling
O,completed
O,along
O,the
O,Fairway
O,mineralised
O,trend
O,(
O,from
O,Turnberry
O,in
O,the
O,north
O,to
O,St
O,Anne
O,’
O,s
O,in
O,the
O,south
O,)
O,","
O,and
O,at
O,both
O,the
O,Bunarra
O,and
O,Far
O,East
O,Prospects
O,which
O,are
O,located
O,to
O,the
O,south
O,of
O,Fairway
O,(
O,Figure
O,1
O,)
O,.
O,The
O,Company
O,is
O,particularly
O,pleased
O,with
O,the
O,early
O,results
O,from
O,St
O,Anne
O,’
O,s
O,where
O,high-grade
O,mineralisation
O,was
O,intersected
O,in
O,a
O,geological
O,setting
O,that
O,is
O,known
O,to
O,host
O,significant
O,gold
O,Latitude
O,Consolidated
O,Limited
O,www.latitudeconsolidated.com.au
O,Ground
O,Floor
O,","
O,16
O,Ord
O,Street
O,","
O,West
O,Perth
O,WA
O,6005
