tag,sentence
O,ASX
O,RELEASE-3
O,November
O,2021
O,-Ag
O,Burns
O,Update
O,D
O,rill
O,Results
O,Continue
O,to
O,Support
O,larger
O,Cu-Au-Ag
O,system
O,The
O,•
O,Final
O,assay
O,results
O,have
O,been
O,received
O,from
O,the
O,remaining
O,five
O,holes
O,of
O,the
O,July
O,9
O,hole
O,RC
O,drill
O,program
O,at
O,Burns
O,","
O,and
O,from
O,a
O,single
O,hole
O,of
O,the
O,recent
O,17
O,RC
O,hole
O,Burns
O,corridor
O,drill
O,program.
O,Results
O,continue
O,to
O,support
O,a
O,growing
O,Cu-Au-Ag
O,Intrusion
O,related
O,mineral
O,system.
O,•
O,The
O,single
O,hole
O,result
O,is
O,from
B-H,LEFR297
O,that
O,tested
O,the
O,edge
O,of
O,Lovejoy
O,magnetic
O,target
O,located
O,beneath
O,Lake
O,Randall.
O,This
O,intersected
O,strongly
O,altered
O,diorite
O,porphyry
O,similar
O,to
O,that
O,observed
O,at
O,Burns
O,2000m
O,to
O,the
O,southeast.
O,Assay
O,results
O,were
O,:
B-E,•
B-D,10m
B-E,@
B-P,0.21g/t
B-M,Au
B-E,&
B-P,0.60%
B-M,Cu
B-E,&
B-P,2.5g/t
B-M,Ag
B-E,from
B-D,218m
B-E,Including
B-D,2m
B-E,@
B-P,0.41g/t
B-M,Au
B-E,&
B-P,1.56%
B-M,Cu
B-E,&
B-P,5.5g/t
B-M,Ag
B-E,from
B-D,225m
B-E,•
B-D,8m
B-E,@
B-P,0.22g/t
B-M,Au
B-E,&
B-P,0.51%
B-M,Cu
B-E,&
B-P,1.75g/t
B-M,Ag
B-E,from
B-D,250m
O,to
O,EOH
O,and
O,Including
B-D,2m
B-E,@
B-P,0.67g/t
B-M,Au
B-E,&
B-P,1.53%
B-M,Cu
B-E,&
B-P,5.0g/t
B-M,Ag
B-E,from
B-D,256m
O,to
O,EOH
O,•
O,Hole
B-H,LEFR297
O,ended
O,in
O,Cu-Au-Ag
O,mineralisation
O,on
O,the
O,interpreted
O,margin
O,of
O,the
O,Lovejoy
O,anomaly
O,and
O,had
O,to
O,be
O,abandoned
O,at
O,258m
O,due
O,to
O,excessive
O,water
O,inflows.
O,A
O,specialised
O,lake
O,drilling
O,rig
O,has
O,been
O,secured
O,to
O,evaluate
O,this
O,priority
O,target
O,and
O,will
O,commence
O,shortly.
O,•
O,Results
O,for
O,the
O,additional
O,16
O,RC
O,holes
O,","
O,which
O,evaluated
O,other
O,recognised
O,multiple
O,magnetic
O,anomalies
O,along
O,the
O,3000m
O,Burns
O,corridor
O,","
O,are
O,pending.
O,These
O,proof-of-concept
O,holes
O,intersected
O,altered
O,diorite
O,and
O,basalt
O,similar
O,to
O,that
O,seen
O,at
O,Burns
O,at
O,each
O,of
O,the
O,locations
O,tested
O,and
O,demonstrate
O,the
O,larger
O,footprint
O,of
O,the
O,Intrusion
O,related
O,system.
O,•
O,Results
O,from
O,the
O,final
O,five
O,holes
O,of
O,the
O,July
O,RC
O,drill
O,hole
O,program
O,drilled
O,at
O,Burns
O,support
O,and
O,extend
O,the
O,mineralisation
O,in
O,both
O,the
O,Eastern
O,Porphyry
O,and
O,the
O,Western
O,Basalt.
O,Better
O,results
O,include
O,:
B-E,•
B-D,11m
B-E,@
B-P,1.45g/t
B-M,Au
B-E,&
B-P,0.10%
B-M,Cu
B-E,&
B-P,0.59g/t
B-M,Ag
B-E,from
B-D,108m
B-E,in
B-H,LEFR290
O,(
O,Eastern
O,Porphyry
O,)
B-E,Including
B-D,2m
B-E,@
B-P,5.04g/t
B-M,Au
B-E,&
B-P,0.13%
B-M,Cu
B-E,&
B-P,1.0g/t
B-M,Ag
B-E,from
B-D,114m
B-E,•
B-D,40m
B-E,@
B-P,0.07g/t
B-M,Au
B-E,&
B-P,0.14%
B-M,Cu
B-E,from
B-D,42m
B-E,in
B-H,LEFR295
O,(
O,Western
O,Basalt
O,)
B-E,•
B-D,2m
B-E,@
B-P,3.96g/t
B-M,Au
B-E,from
B-D,284m
B-E,in
B-H,LEFR291
O,•
O,Preparation
O,for
O,the
O,Stage
O,2
O,offshore
O,drilling
O,program
O,to
O,assess
O,the
O,footprint
O,of
O,the
O,greater
O,Burns
O,system
O,extending
O,beneath
O,Lake
O,Randall
O,is
O,well
O,advanced
O,and
O,is
O,due
O,to
O,commence
O,shortly.
O,Lefroy
O,Exploration
O,Managing
O,Director
O,","
O,Wade
O,Johnson
O,commented
O,“
O,We
O,are
O,pleased
O,with
O,the
O,results
O,from
O,the
O,recent
O,RC
O,drill
O,prog
O,rams
O,that
O,provide
O,further
O,evidence
O,to
O,the
O,growing
O,footprint
O,of
O,the
O,Burns
O,system.
O,The
O,single
O,results
O,from
O,altered
O,diorite
O,from
O,the
O,edge
O,of
O,Lovejoy
O,are
O,exciting
O,and
O,we
O,are
O,very
O,keen
O,to
O,get
O,the
O,lake
O,drilling
O,underway
O,to
O,further
O,expand
O,the
O,system
O,and
O,make
O,that
O,breakthrough
O,that
O,leads
O,to
O,a
O,large
O,Cu-Au-Ag
O,discovery
O,”
O,E
O,:
O,inf
O,o@lefroyex.com
O,ASX
O,Code
O,:
O,LEX
O,Australian
O,Registered
O,Office
O,T
O,:
O,+61
O,8
O,9321
O,0984
O,Shares
O,on
O,Issue
O,:
O,120M
O,Level
O,2
O,","
O,11
O,Ventnor
O,Avenue
O,ARBN
O,:
O,052
O,123
O,930
O,Market
O,Capitalisation
O,:
O,$46.8m
O,West
O,Perth
O,","
O,6005
O,www.lefroyex.com
O,ASX
O,Announcement
O,3
O,November
O,2021
O,Lefroy
O,Exploration
O,Limited
O,(
O,ASX
O,:
O,LEX
O,)
O,(
O,“
