tag,sentence
O,ASX
O,RELEASE
O,3
O,December
O,2020
O,ASX
O,:
O,MGV
O,Scout
O,drilling
O,intersects
O,high-grade
O,gold
O,and
O,defines
O,large
O,gold
O,zones
O,under
O,Lake
O,Austin
O,","
O,Evolution
O,JV
O,•
O,Aircore
O,drilling
O,results
O,from
O,Lake
O,Austin
O,have
O,extended
O,the
O,gold
O,anomalism
O,and
O,defined
O,high-grade
O,zones
O,of
O,regolith
O,gold
O,for
O,basement
O,drill
O,testing
O,•
O,New
O,significant
O,gold
O,intersections
O,include
O,:
B-E,o
B-D,5m
B-E,@
B-P,12.1g/t
B-M,Au
B-E,from
B-D,90m
B-H,(
I-H,20MOAC258
I-H,)
O,including
O,:
B-E,▪
B-D,1m
B-E,@
B-P,53.7g/t
B-M,Au
B-E,from
B-D,90m
B-E,o
B-D,13m
B-E,@
B-P,1.9g/t
B-M,Au
B-E,from
B-D,96m
B-H,(
I-H,20MOAC273
I-H,)
O,including
O,:
B-E,▪
B-D,1m
B-E,@
B-P,17.2g/t
B-M,Au
B-E,from
B-D,106m
B-E,o
B-D,69m
B-E,@
B-P,0.8g/t
B-M,Au
B-E,from
B-D,126m
B-H,(
I-H,20MOAC282
I-H,)
B-E,to
I-E,EOH
O,including
O,:
B-E,▪
B-D,23m
B-E,@
B-P,1.3g/t
B-M,Au
B-E,from
B-D,159m
O,•
O,The
O,Phase
O,2
O,regional
O,aircore
O,drilling
O,program
O,is
O,part
O,of
O,the
O,Evolution
O,Joint
O,Venture
O,over
O,Lake
O,Austin
O,and
O,has
O,now
O,been
O,completed
O,•
O,The
O,Phase
O,1
O,and
O,Phase
O,2
O,drilling
O,","
O,totalling
O,more
O,than
O,48
O,","
O,895m
O,have
O,successfully
O,identified
O,multiple
O,high-priority
O,basement
O,gold
O,targets
O,for
O,follow-up
O,diamond
O,drilling
O,Musgrave
O,Minerals
O,Ltd
O,(
O,ASX
O,:
O,MGV
O,)
O,(
O,“
O,Musgrave
O,”
O,or
O,“
O,the
O,Company
O,”
O,)
O,is
O,pleased
O,to
O,report
O,further
O,assay
O,results
O,(
O,Table
O,1a
O,)
O,from
O,the
O,recent
O,regional
O,scout
O,aircore
O,drilling
O,program
O,on
O,the
O,Lake
O,Austin
O,Joint
O,Venture
O,with
O,Evolution
O,Mining
O,Ltd
O,(
O,“
O,Evolution
O,”
O,)
O,","
O,at
O,the
O,Company
O,’
O,s
O,flagship
O,Cue
O,Gold
O,Project
O,in
O,Western
O,Australia
O,’
O,s
O,Murchison
O,district
O,(
O,Figure
O,1
O,)
O,.
O,The
O,results
O,have
O,strengthened
O,Musgrave
O,’
O,s
O,exploration
O,model
O,for
O,a
O,large
O,gold
O,system
O,beneath
O,Lake
O,Austin.
O,The
O,aircore
O,drilling
O,has
O,generated
O,multiple
O,high-priority
O,basement
O,gold
O,targets
O,for
O,follow-up
O,drill
O,testing.
O,Musgrave
O,Managing
O,Director
O,Rob
O,Waugh
O,said
O,:
O,“
O,This
O,large
O,regional
O,scout
O,drilling
O,program
O,as
O,part
O,of
O,the
O,Evolution
O,JV
O,","
O,has
O,generated
O,some
O,excellent
O,regolith
O,gold
O,results
O,and
O,has
O,significantly
O,extended
O,the
O,gold
O,anomaly
O,around
O,the
O,Lake
O,Austin
O,North
O,target
O,highlighting
O,the
O,potential
O,of
O,the
O,area
O,to
O,host
O,significant
O,basement
O,gold
O,mineralisation.
O,Musgrave
O,’
O,s
O,regional
O,drilling
O,program
O,on
O,its
O,100%
O,owned
O,tenements
O,is
O,near
O,completion
O,and
O,has
O,also
O,defined
O,multiple
O,targets
O,for
O,priority
O,basement
O,follow-up
O,drilling
O,in
O,the
O,new
O,year.
O,”
O,5
O,Ord
O,Street
O,","
O,West
O,Perth
O,WA
O,6005
O,Telephone
O,:
O,(
O,61
O,8
O,)
O,9324
O,1061
O,Fax
O,:
O,(
O,61
O,8
O,)
O,9324
O,1014
O,Web
O,:
O,www.musgraveminerals.com.au
O,Email
O,:
O,info@musgraveminerals.com.au
O,ACN
O,:
O,143
O,890
O,671
O,Lake
O,Austin
O,Aircore
O,Program
O,Results
O,Under
O,the
O,Evolution
O,Joint
O,Venture
O,","
O,which
O,commenced
O,in
O,October
O,2019
O,","
O,two
O,phases
O,of
O,regional
O,aircore
O,drilling
O,have
O,now
O,been
O,completed.
O,The
O,combined
O,Phase
O,1
O,and
O,Phase
O,2
O,programs
O,comprised
O,436
O,holes
O,for
O,48
O,","
O,895m
O,on
O,Lake
O,Austin.
O,The
O,aim
O,of
O,the
O,aircore
O,programs
O,was
O,to
O,obtain
O,geological
O,and
O,geochemical
O,information
O,to
O,integrate
O,with
O,geophysical
O,data
O,and
O,provide
O,vectors
O,for
O,basement
O,drilling.
O,Assays
O,results
O,for
O,249
O,drill
O,holes
O,(
O,22
O,","
O,879m
O,)
O,in
O,the
O,Phase
O,1
O,program
O,were
O,reported
O,in
O,June
O,2020
O,(
O,see
O,MGV
O,ASX
O,announcement
O,5
O,June
O,2020
O,","
O,“
O,Scout
O,drilling
O,defines
O,large
O,gold
O,targets
O,at
O,Cue
O,","
O,Evolution
O,JV
O,”
O,)
O,.
O,The
O,results
O,from
O,Phase
O,1
O,extended
O,the
O,Lake
O,Austin
O,North
O,target
O,to
O,more
O,than
O,5.5km
O,of
O,strike
O,","
O,confirming
O,potential
O,for
O,a
O,large
O,","
O,mineralised
O,gold
O,system
O,","
O,and
O,when
O,integrated
O,with
O,the
O,Phase
O,2
O,program
O,has
O,identified
O,multiple
O,high-priority
O,basement
O,gold
O,targets
O,for
O,follow-up
O,The
O,Phase
O,2
O,program
O,comprised
O,187
O,holes
O,for
O,26
O,","
O,016m
O,with
O,results
O,received
O,for
O,the
O,first
O,100
O,drill
O,holes
O,of
O,this
O,program
O,reported
O,in
O,this
O,release
O,(
O,Tables
O,1a
O,and
O,1b
O,)
O,.
O,The
O,results
O,for
O,Phase
O,2
O,have
O,extended
O,and
O,infilled
O,the
O,Lake
O,Austin
O,North
O,gold
O,anomalism
O,where
O,it
O,remains
O,open
O,(
O,Figures
O,1
O,and
O,2
O,)
O,.
O,The
O,extensive
O,gold
O,regolith
O,‘
O,halo
O,’
O,at
O,Lake
O,Austin
O,North
O,comprises
O,multiple
O,","
O,individual
O,zones
O,following
O,and
O,adjacent
O,to
O,the
O,tonalite-mafic
O,contact
O,along
O,a
O,major
O,gold
O,anomalous
O,structural
O,corridor
O,(
O,Lena-Break
O,of
O,Day
O,shear
O,corridor
O,)
O,.
O,Many
O,of
O,the
O,aircore
O,drill
O,holes
O,in
O,both
O,Phases
O,of
O,the
O,program
O,terminated
O,in
O,anomalous
O,gold
O,","
O,highlighting
O,the
O,possible
O,proximity
