tag,sentence
O,ASX
O,RELEASE
O,|
O,30th
O,MARCH
O,2022
O,|
O,ASX
O,:
O,OM1
O,HIGH
O,GRADE
O,ROCK
O,CHIP
O,SAMPLES
O,AT
O,ORD
O,BASIN
O,PROJECT
O,•
O,High-grade
O,rock
O,chip
O,results
O,from
O,the
O,Caves
O,Prospect
O,at
O,the
O,Ord
O,Basin
O,Project
O,include
O,:
B-P,10.1%
B-M,Cu
B-E,&
B-P,29g/t
B-M,Ag
B-H,(
I-H,OMRK01
I-H,)
B-E,o
B-P,10.3%
B-M,Cu
B-E,&
B-P,29g/t
B-M,Ag
B-H,(
I-H,OMRK02
I-H,)
O,and
B-E,o
B-P,9.9%
B-M,Cu
B-E,&
B-P,22g/t
B-M,Ag
B-H,(
I-H,OMRK03
I-H,)
O,o
O,•
O,Results
O,validate
O,historical
O,data
O,collected
O,in
O,1969
O,that
O,has
O,never
O,been
O,followed
O,up.
O,•
O,Additional
O,reconnaissance
O,mapping
O,and
O,sampling
O,recently
O,completed
O,","
O,with
O,further
O,areas
O,of
O,surficial
O,copper
O,mineralisation
O,and
O,prospective
O,rock
O,types
O,observed.
O,•
O,Aggressive
O,exploration
O,program
O,to
O,commence
O,imminently
O,to
O,delineate
O,priority
O,drill
O,targets.
O,Omnia
O,Metals
O,Group
O,Ltd
O,(
O,“
O,Omnia
O,”
O,or
O,“
O,Company
O,”
O,)
O,is
O,pleased
O,to
O,announce
O,highly
O,encouraging
O,assay
O,results
O,from
O,initial
O,reconnaissance
O,fieldwork
O,at
O,its
O,Ord
O,Basin
O,Project
O,(
O,the
O,“
O,Project
O,”
O,)
O,","
O,located
O,140km
O,south
O,of
O,Kununurra.
O,The
O,samples
O,returned
O,six
O,results
O,of
O,elevated
O,(
O,>350ppm
O,)
O,copper
O,values
O,","
O,with
O,high
O,grade
O,results
O,of
B-P,10.1%
B-M,Cu
B-E,&
B-P,29
I-P,g/t
B-M,Ag
B-H,(
I-M,OMRK01
I-M,)
O,","
B-P,10.3%
B-M,Cu
B-E,&
B-P,29
I-P,g/t
B-M,Ag
B-H,(
I-H,OMRK02
I-H,)
O,and
B-P,9.9%
B-M,Cu
B-E,&
B-P,22
I-P,g/t
B-M,Ag
B-H,(
I-H,OMRK03
I-H,)
O,returned.
O,Omnia
O,Metals
O,’
O,Executive
O,Director
O,","
O,James
O,Warren
O,","
O,commented
O,:
O,“
O,It
O,is
O,exciting
O,to
O,validate
O,the
O,presence
O,of
O,high-grade
O,copper
O,mineralisation
O,at
O,the
O,Caves
O,Prospect.
O,The
O,last
O,exploration
O,program
O,completed
O,at
O,Caves
O,was
O,in
O,1969
O,","
O,so
O,to
O,physically
O,go
O,out
O,and
O,observe
O,abundant
O,copper-stained
O,rocks
O,","
O,that
O,carry
O,good
O,grades
O,and
O,have
O,never
O,been
O,followed
O,up
O,is
O,an
O,encouraging
O,sign
O,of
O,things
O,to
O,come.
O,“
O,Following
O,the
O,successful
O,listing
O,of
O,Omnia
O,","
O,we
O,have
O,been
O,in
O,the
O,field
O,visiting
O,all
O,the
O,key
O,target
O,areas
O,we
O,identified
O,during
O,desktop
O,studies
O,to
O,refine
O,our
O,exploration
O,strategy
O,for
O,the
O,year
O,ahead.
O,“
O,We
O,are
O,encouraged
O,by
O,the
O,presence
O,of
O,surficial
O,copper
O,at
O,many
O,localities
O,and
O,we
O,have
O,mapped
O,mafic-ultramafic
O,intrusive
O,rock
O,types
O,at
O,the
O,Junction
O,Prospect
O,","
O,which
O,we
O,believe
O,are
O,prospective
O,for
O,Norilsk
O,style
O,Ni-PGE-Cu
O,mineralisation.
O,“
O,The
O,Ord
O,Basin
O,Project
O,is
O,an
O,exciting
O,area
O,that
O,has
O,remained
O,dormant
O,and
O,we
O,plan
O,to
O,aggressively
O,explore
O,for
O,Tier
O,1
O,orebodies
O,through
O,the
O,use
O,of
O,modern
O,technologies
O,over
O,the
O,coming
O,months.
O,”
O,During
O,an
O,initial
O,site
O,visit
O,conducted
O,in
O,October
O,2021
O,","
O,eight
O,rock
O,chip
O,samples
O,were
O,collected
O,from
O,the
O,Caves
O,Prospect
O,(
O,Figure
O,1
O,)
O,to
O,validate
O,surficial
O,copper
O,data
O,that
O,was
O,reported
O,by
O,Metals
O,Exploration
O,NL
O,in
O,1969.
O,The
O,samples
O,were
O,collected
O,from
O,the
O,outcropping
O,contact
O,between
O,the
O,underlying
O,Antrim
O,Plateau
O,Volcanics
O,(
O,“
O,APV
O,”
O,)
O,and
O,the
O,overlying
O,Headleys
O,Limestone
O,","
O,a
O,key
O,geological
O,contact
O,for
O,stratabound
O,copper
O,mineralisation
O,in
O,the
O,region.
O,At
O,the
O,Caves
O,Prospect
O,","
O,the
O,contact
O,between
O,the
O,APV
O,and
O,Headleys
O,Limestone
O,outcrops
O,over
O,an
O,area
O,of
O,approximately
O,90m
O,x
O,180m
O,before
O,dipping
O,undercover.
O,Abundant
O,malachite
O,mineralisation
O,","
O,OMNIA
O,METALS
O,GROUP
O,LTD
O,ACN
O,:
O,648
O,187
O,651
O,22
O,Townshend
O,Road
O,","
O,SUBIACO
O,","
O,WA
O,","
O,AUSTRALIA
O,","
O,6008
O,www.omniametals.com.au
O,associated
O,with
O,high-grade
O,Cu-Ag
O,mineralisation
O,","
O,is
O,observed
O,to
O,be
O,associated
O,with
O,dark
O,grey
O,to
O,black
O,brecciated
O,or
O,fragmental
O,sideritic
O,masses
O,","
O,which
O,directly
O,overlie
O,the
O,top
O,basalt
O,of
O,the
O,APV
O,","
O,and
O,mineralised
O,agglomerate
O,or
O,amygdaloidal
O,flow
O,tops
O,of
O,the
O,APV
O,(
O,Figure
O,2
O,)
O,.
O,Figure
O,1.
O,Location
O,of
O,reconnaissance
O,rock
O,chip
O,samples
O,from
O,the
O,Caves
O,Prospect
O,OMNIA
O,METALS
O,GROUP
O,LTD
O,ACN
O,:
O,648
O,187
O,651
O,Page
O,2
O,of
O,5
O,22
O,Townshend
O,Road
O,","
O,SUBIACO
O,","
O,WA
O,","
O,AUSTRALIA
O,","
O,6008
O,www.omniametals.com.au
O,Figure
O,2.
O,Outcrop
O,photos
O,from
O,the
O,Caves
O,Prospect
O,highlighting
O,surficial
O,malachite
O,mineralisation.
O,A
O,)
O,Brecciated
O,mineralisation
O,overlying
O,the
O,top
O,of
O,the
O,APV.
O,B
O,)
O,Mineralised
O,amygdaloidal
O,flow
O,top
O,of
O,the
O,APV.
O,C
O,)
O,&
O,D
O,)
O,Copper
O,stained
O,","
O,sub-cropping
O,rocks
O,observed
O,in
O,the
O,Caves
O,Prospect
O,area.
O,OMNIA
O,METALS
O,GROUP
O,LTD
O,ACN
O,:
O,648
O,187
O,651
O,Page
O,3
