tag,sentence
O,30
O,August
O,2021
O,Gum
O,Creek
O,Gold
O,Project
O,Wide
O,Zones
O,of
O,Shallow
O,Gold
O,Mineralisation
O,from
O,Initial
O,RC
O,Drilling
O,at
O,Howards
O,HIGHLIGHTS
O,▪
O,Numerous
O,highly
O,significant
O,gold
O,intercepts
O,returned
O,from
O,shallow
O,infill
O,and
O,extension
O,Reverse
O,Circulation
O,(
O,RC
O,)
O,drilling
O,at
O,the
O,Howards
O,Prospect
O,including
O,:
B-E,▪
B-D,77m
B-E,@
B-P,1.1g/t
B-M,Au
B-E,from
B-D,64m
B-E,including
B-D,31m
B-E,@
B-P,1.8g/t
B-M,Au
B-E,from
B-D,75m
B-E,▪
B-D,65m
B-E,@
B-P,1.2g/t
B-M,Au
B-E,from
B-D,0m
B-E,to
I-E,EOH
I-E,including
B-D,13m
B-E,@
B-P,2.5g/t
B-M,Au
B-E,from
B-D,22m
B-E,and
B-D,7m
B-E,@
B-P,3.0g/t
B-M,Au
B-E,from
B-D,53m
B-E,▪
B-D,28m
B-E,@
B-P,1.5g/t
B-M,Au
B-E,from
B-D,102m
B-E,including
B-D,11m
B-E,@
B-P,2.8g/t
B-M,Au
B-E,from
B-D,109m
B-E,▪
B-D,79m
B-E,@
B-P,0.9g/t
B-M,Au
B-E,from
B-D,18m
B-E,including
B-D,35m
B-E,@
B-P,1.3g/t
B-M,Au
B-E,from
B-D,48m
B-E,▪
B-D,54m
B-E,@
B-P,0.8g/t
B-M,Au
B-E,from
B-D,65m
B-E,including
B-D,13m
B-E,@
B-P,2.2g/t
B-M,Au
B-E,from
B-D,101m
B-E,▪
B-D,3m
B-E,@
B-P,19.6g/t
B-M,Au
B-E,from
B-D,141m
B-E,▪
B-D,24m
B-E,@
B-P,0.8g/t
B-M,Au
B-E,from
B-D,78m
B-E,including
B-D,8m
B-E,@
B-P,1.4g/t
B-M,Au
B-E,from
B-D,79m
B-E,▪
B-D,14m
B-E,@
B-P,1.2g/t
B-M,Au
B-E,from
B-D,28m
B-E,including
B-D,5m
B-E,@
B-P,2.7g/t
B-M,Au
B-E,from
B-D,30m
O,▪
O,Gold
O,mineralisation
O,at
O,the
O,Howards
O,Prospect
O,remains
O,open
O,to
O,the
O,north
O,","
O,south
O,and
O,at
O,depth
O,within
O,the
O,northern
O,","
O,southern
O,and
O,central
O,lodes
O,and
O,is
O,now
O,defined
O,over
O,a
O,continuous
O,1.3km
O,strike.
O,▪
O,Additional
O,extension
O,and
O,infill
O,resource
O,drilling
O,planned
O,prior
O,to
O,updating
O,the
O,current
O,204
O,","
O,000oz
O,Au
O,Mineral
O,Resource
O,Estimate
O,(
O,MRE
O,)
O,for
O,the
O,Howards
O,Prospect.
O,▪
O,Assay
O,turnaround
O,is
O,slow
O,with
O,results
O,for
O,Heron
O,South
O,","
O,Kingfisher
O,","
O,Camel
O,Bore
O,","
O,Think
O,Big
O,and
O,Manikato
O,Prospects
O,all
O,still
O,pending.
O,▪
O,RC
O,drilling
O,at
O,the
O,Snook
O,prospect
O,is
O,underway
O,","
O,with
O,drilling
O,at
O,Wahoo
O,","
O,Orion
O,","
O,Specimen
O,Well
O,and
O,Omega/PSI
O,targets
O,to
O,follow.
O,▪
O,All
O,targets
O,have
O,the
O,potential
O,to
O,add
O,significant
O,ounces
O,to
O,the
O,Gum
O,Creek
O,MRE.
O,HORIZON
O,GOLD
O,LIMITED
O,ACN
O,:
O,614
O,175
O,923
O,Suite
O,8
O,/
O,47
O,Havelock
O,Street
O,","
O,West
O,Perth
O,","
O,WA
O,6005
O,|
O,PO
O,Box
O,39
O,","
O,West
O,Perth
O,","
O,WA
O,6872
O,1
O,Telephone
O,:
O,+61
O,8
O,9336
O,3388
O,|
O,Email
O,:
O,info@horizongold.com.au
O,|
O,Website
O,:
O,www.horizongold.com.au
O,Horizon
O,Gold
O,Limited
O,(
O,ASX
O,Code
O,:
O,HRN
O,)
O,(
O,Horizon
O,or
O,Company
O,)
O,is
O,pleased
O,to
O,announce
O,additional
O,highly
O,significant
O,results
O,from
O,ongoing
O,RC
O,drilling
O,at
O,its
O,100%
O,owned
O,Gum
O,Creek
O,Gold
O,Project
O,located
O,in
O,the
O,Mid-West
O,Region
O,of
O,Western
O,Australia
O,(
O,Figure
O,1
O,)
O,.
O,All
O,assay
O,results
O,have
O,been
O,received
O,from
O,initial
O,RC
O,drilling
O,at
O,the
O,Howards
O,Prospect
O,","
O,located
O,only
O,28
O,kilometres
O,southeast
O,of
O,the
O,Gidgee
O,processing
O,plant
O,and
O,close
O,to
O,the
O,well-maintained
O,road
O,network.
O,Managing
O,Director
O,Leigh
O,Ryan
O,said
O,:
O,“
O,These
O,initial
O,RC
O,drilling
O,results
O,from
O,Howards
O,are
O,very
O,encouraging.
O,With
O,broad
O,","
O,shallow
O,zones
O,of
O,potentially
O,open
O,pittable
O,gold
O,mineralisation
O,defined
O,and
O,still
O,open
O,in
O,all
O,directions
O,","
O,the
O,Howards
O,Prospect
O,has
O,the
O,potential
O,to
O,be
O,the
O,core
O,of
O,a
O,future
O,Gum
O,Creek
O,mining
O,hub.
O,There
O,is
O,confidence
O,the
O,resource
O,will
O,continue
O,to
O,grow
O,and
O,we
O,’
O,re
O,particularly
O,interested
O,in
O,the
O,prospectivity
O,at
O,depth
O,where
O,the
O,Howards
O,Shear
O,Zone
O,intercepts
O,the
O,Montague
O,Granodiorite.
O,”
O,Figure
O,1
O,:
O,Gum
O,Creek
O,Gold
O,Project
O,and
O,surrounding
O,mines
O,The
O,Company
O,completed
O,a
O,total
O,of
O,33
O,RC
O,holes
O,for
O,3
O,","
O,174
O,metres
O,at
O,the
O,Howards
O,Prospect
O,during
O,May
O,and
O,June
O,2021.
O,The
O,holes
O,were
O,designed
O,to
O,confirm
O,and
O,expand
O,on
O,the
O,previously
O,delineated
O,shallow
O,gold
O,mineralisation
O,associated
O,with
O,the
O,current
O,MRE
O,of
O,5.97Mt
O,@
O,1.1g/t
O,Au
O,for
O,204
O,","
O,000oz
O,(
O,Table
O,B
O,)
O,.
O,Drilling
O,successfully
O,intercepted
O,near
O,surface
O,strike
O,extensions
O,to
O,gold
O,mineralisation
O,to
O,the
O,north
O,and
O,south
O,of
O,previous
O,drilling
O,","
O,and
O,infill
O,drill
O,lines
O,have
O,confirmed
O,the
O,broad
O,widths
O,and
O,grade
O,of
O,historic
O,intercepts
O,within
O,northern
O,","
O,central
O,and
O,southern
O,lodes.
O,Numerous
O,>40
O,gram
O,x
O,metre
O,gold
O,intercepts
O,were
O,returned
O,from
O,the
O,central
O,lode
O,of
O,the
O,Howards
O,Prospect
O,(
O,Figure
O,2
O,","
O,Table
O,2
O,)
O,","
O,including
B-D,77m
B-E,@
B-P,1.1g/t
B-M,Au
B-E,from
B-D,64m
B-E,including
B-D,31m
B-E,@
B-P,1.8g/t
B-M,Au
B-E,from
B-D,75m
B-H,(
I-H,HWRC236
I-H,)
O,","
B-D,65m
B-E,@
B-P,1.2g/t
B-M,Au
B-E,from
B-D,0m
B-E,to
I-E,EOH
I-E,including
B-D,13m
B-E,@
B-P,2.5g/t
B-M,Au
B-E,from
B-D,22m
B-E,and
B-D,7m
B-E,@
B-P,3.0g/t
B-M,Au
B-E,from
B-D,53m
B-H,(
I-H,HWRC240
I-H,)
O,","
B-D,28m
B-E,@
B-P,1.5g/t
B-M,Au
B-E,from
B-D,102m
B-E,including
B-D,11m
B-E,@
B-P,2.8g/t
B-M,Au
B-E,from
B-D,109m
B-H,(
I-H,HWRC242
I-H,)
O,","
B-D,79m
B-E,@
B-D,0.9g/t
B-M,Au
B-E,from
B-D,18m
B-E,including
B-D,35m
B-E,@
B-P,1.3g/t
B-M,Au
B-E,from
B-D,48m
B-H,(
I-H,HWRC238
I-H,)
O,","
B-D,54m
B-E,@
B-P,0.8g/t
B-M,Au
B-E,from
B-D,65m
B-E,including
B-D,13m
B-E,@
B-P,2.2g/t
B-M,Au
B-E,from
B-D,101m
B-H,(
I-H,HWRC254
I-H,)
O,and
B-D,3m
B-E,@
B-P,19.6g/t
B-M,Au
B-E,from
B-D,141m
B-H,(
I-H,HWRC248
I-H,)
O,.
O,Other
O,highly
O,significant
O,intercepts
O,included
B-D,24m
B-E,@
B-P,0.8g/t
B-M,Au
B-E,from
B-D,78m
O,2
O,including
B-D,8m
B-E,@
B-P,1.4g/t
B-M,Au
B-E,from
B-D,79m
B-H,(
I-H,HWRC250
I-H,–
I-H,northern
I-H,lode
I-H,)
O,","
O,and
B-D,14m
B-E,@
B-P,1.2g/t
B-M,Au
B-E,from
B-D,28m
B-E,including
B-D,5m
B-E,@
B-P,2.7g/t
B-M,Au
B-E,from
B-D,30m
B-H,(
I-H,HSRC010
I-H,–
I-H,southern
I-H,lode
I-H,)
O,(
O,Figure
O,2
O,)
O,.
O,Figure
O,2
O,:
O,Howards
O,drill
O,hole
O,location
O,plan
O,with
O,all
O,recent
O,primary
O,intercepts
O,>10
O,GxM
O,labelled
O,(
O,i.e.
O,average
O,intercept
O,Grade
O,(
O,g/t
O,Au
O,)
