tag,sentence
O,ASX
O,CODE
O,:
O,MTB
O,19
O,May
O,2022
O,NXUU
O,POLYMETALLIC
O,Zn/Pb/Ag/V
O,O
O,/Ga/Ge
O,DEPOSIT
O,–
O,ZINC
O,EQUIVALENT
O,GRADES
O,2
O,5
O,On
O,19
O,April
O,2022
O,","
O,the
O,Company
O,released
O,assay
O,results
O,showing
O,individual
O,grades
O,of
O,Zn/Pb/Ag/V
O,O
O,/Ga/Ge
O,2
O,5
O,from
O,seven
O,holes
O,drilled
O,into
O,the
O,totally
O,oxidised
O,polymetallic
O,Nxuu
O,Deposit.
O,Since
O,that
O,release
O,","
O,the
O,Company
O,has
O,received
O,a
O,number
O,of
O,queries
O,with
O,regard
O,to
O,the
O,potential
O,contribution
O,each
O,of
O,the
O,individual
O,metals
O,could
O,make
O,to
O,the
O,project.
O,Calculation
O,of
O,Zinc
O,Equivalent
O,Grades
O,In
O,an
O,attempt
O,to
O,clarify
O,the
O,situation
O,","
O,the
O,Company
O,has
O,compiled
O,data
O,from
O,the
O,seven
O,drill
O,holes
O,which
O,shows
O,a
O,Zinc
O,equivalent
O,grade
O,for
O,all
O,six
O,minerals.
O,The
O,Zinc
O,equivalent
O,grade
O,has
O,been
O,calculated
O,as
O,Zinc
O,is
O,the
O,primary
O,metal
O,in
O,the
O,totally
O,oxidised
O,polymetallic
O,Nxuu
O,Deposit.
O,At
O,this
O,stage
O,","
O,the
O,Company
O,has
O,also
O,compiled
O,Zinc
O,equivalent
O,grades
O,for
O,four
O,holes
O,(
O,shown
O,as
O,NBR
O,)
O,neighbouring
O,the
O,seven
O,drill
O,holes
O,","
O,in
O,order
O,to
O,include
O,extensions
O,of
O,mineralisation.
O,The
O,intention
O,is
O,to
O,calculate
O,Zinc
O,equivalent
O,grades
O,for
O,all
O,holes
O,assayed
O,for
O,all
O,six
O,minerals
O,","
O,whereupon
O,further
O,information
O,will
O,be
O,released
O,to
O,the
O,market.
O,For
O,holes
O,drilled
O,to
O,date
O,into
O,the
O,Nxuu
O,Deposit
O,which
O,were
O,assayed
O,for
O,Zn/Pb/Ag/V
O,O
O,/Ga/Ge
O,","
O,refer
O,to
O,the
O,2
O,5
O,Nxuu
O,Deposit
O,Drill
O,Hole
O,Map
O,(
O,Figure
O,1
O,)
O,.
O,The
O,Zinc
O,equivalent
O,grade
O,is
O,the
O,in-ground
O,grade.
O,Individual
O,Drill
O,Hole
O,Zinc
O,Equivalent
O,Grades
O,(
O,ZEG
O,)
O,SECTION
O,13
O,–
B-H,NXDD092
O,508
O,","
O,725E
O,","
O,7
O,","
O,721
O,","
O,724N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
O,56.05m
O,","
O,RL
O,1158
B-H,NXDD092
B-E,had
B-D,18.93m
B-E,from
B-D,31m
B-E,–
B-D,49.93m
B-E,@
B-P,2.33%
B-M,ZEG
O,(
O,Ref
O,Figure
O,2
O,)
B-H,NXDD037
O,508
O,","
O,700E
O,","
O,7
O,","
O,721
O,","
O,750N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
O,41
O,","
O,95m
O,","
O,RL
O,1133
B-H,NXDD037
O,(
O,NBR
O,)
O,had
B-D,23m
B-E,from
B-D,10m
B-E,–
B-D,33m
B-E,@
B-P,1.83%
B-M,ZEG
O,(
O,Ref
O,Figure
O,2
O,)
O,SECTION
O,15
O,–
B-H,NXDD074
O,508
O,","
O,824E
O,","
O,7
O,","
O,821
O,","
O,728N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
B-D,52.03m
O,","
O,RL1132
B-H,NXDD074
B-E,had
B-D,13m
B-E,from
B-D,32m
B-E,–
B-D,45m
B-E,@
B-P,3.03%
B-M,ZEG
B-E,and
B-D,4.9m
B-E,from
B-D,46m
B-E,–
B-D,50.90m
B-E,@
B-P,1.73%
B-M,ZEG
O,(
O,Ref
O,Figure
O,3
O,)
B-H,NXDD030
O,508
O,","
O,800E
O,","
O,7
O,","
O,821
O,","
O,750N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
B-D,41.95m
O,","
O,RL
O,1132
B-H,NXDD030
O,(
O,NBR
O,)
O,had
B-D,36m
B-E,from
B-D,3m
B-E,–
B-D,39m
B-E,@
B-P,2.74%
B-M,ZEG
O,(
O,Ref
O,Figure
O,3
O,)
O,SECTION
O,15
O,–
B-H,NXDD095
O,508
O,","
O,775E
O,","
O,7
O,","
O,821
O,","
O,775N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
B-D,31.04m
O,","
O,RL
O,1132
B-H,NXDD095
B-E,had
B-D,15m
B-E,from
B-D,13m
B-E,–
B-D,28m
B-E,@
B-P,1.66%
B-M,ZEG
O,(
O,Ref
O,Figure
O,4
O,)
O,SECTION
O,16
O,–
B-H,NXDD078
O,508
O,","
O,867E
O,","
O,7
O,","
O,821
O,","
O,725N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
B-D,57.88m
O,","
O,RL
O,1132
B-H,NXDD078
B-E,had
B-D,6m
B-E,from
B-D,47m
B-E,–
B-D,53m
B-E,@
B-P,2.67%
B-M,ZEG
O,(
O,Ref
O,Figure
O,5
O,)
B-H,NXDD039
O,508
O,","
O,850E
O,","
O,7
O,","
O,821
O,","
O,750N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
B-D,53.95m
O,","
O,RL
O,1132
B-H,NXDD039
O,(
O,NBR
O,)
O,had
B-D,24.62m
B-E,from
B-D,27m
B-E,–
B-D,51.62m
B-E,@
B-P,2.58%
B-M,ZEG
O,(
O,Ref
O,Figure
O,5
O,)
O,SECTION
O,16
O,–
B-H,NXDD097
O,508
O,","
O,827E
O,7
O,","
O,821
O,","
O,744N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
B-D,49.03m
O,RL
O,1132
B-H,NXDD097
B-E,had
B-D,32.54m
B-E,from
B-D,14m
B-E,–
B-D,46.54m
B-E,@
B-P,2.61%
B-M,ZEG
O,(
O,Ref
O,Figure
O,6
O,)
B-H,NXDD096
O,508
O,","
O,800E
O,","
O,7
O,","
O,821
O,","
O,800N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
B-D,36.93m
O,","
O,RL
O,1132
B-H,NXDD096
B-E,had
B-D,23.93m
B-E,from
B-D,10m
B-E,–
B-D,33.93m
B-E,@
B-P,2.21%
B-M,ZEG
O,(
O,Ref
O,Figure
O,6
O,)
O,SECTION
O,17
O,–
B-H,NXDD075A
O,508
O,","
O,823E
O,","
O,7
O,","
O,821
O,","
O,826N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
B-D,30.94m
O,","
O,RL
O,1132
B-H,NXDD075A
B-E,had
B-D,13.95m
B-E,from
B-D,15m
B-E,–
B-D,28.95m
B-E,@
B-P,2.11%
B-M,ZEG
O,(
O,Ref
O,Figure
O,7
O,)
B-H,NXDD034
O,508
O,","
O,850E
O,","
O,7
O,","
O,821
O,","
O,800N
O,","
O,Dip
O,-90
O,deg
O,","
O,Az
O,0
O,deg
O,","
O,EOH
B-D,49.62m
O,","
O,RL
O,1132
B-H,NXDD034
O,(
O,NBR
O,)
O,had
B-D,9m
B-E,from
B-D,10m
B-E,–
B-D,19m
B-E,@
B-P,1.76%
B-E,and
B-D,15m
B-E,from
B-D,24m
B-E,–
B-D,39m
B-E,@
B-P,2.61%
O,(
O,Ref
O,Figure
O,7
O,)
B-M,Zinc
O,Equivalent
O,Grade
O,Calculation
O,Applying
O,a
B-P,0.5%
B-M,Zinc
O,Equivalent
O,Low
O,Cut
O,The
O,Zinc
O,Equivalent
O,Grade
O,Calculation
O,includes
O,grades
O,for
O,Zinc
O,","
O,Lead
O,","
O,Silver
O,","
O,Vanadium
O,Pentoxide
O,","
O,Gallium
O,and
O,Germanium
O,","
O,based
O,on
O,the
O,following
O,closing
O,prices
O,of
O,10
O,May
O,2022
O,:
O,•
B-M,Zn
O,US
O,$3
O,","
B-P,642/t
O,(
O,LME
O,)
O,•
B-M,Pb
O,US
O,$2
O,","
B-P,117/t
B-M,LME
O,)
O,•
B-M,Ag
O,US
O,$21.59/oz
O,(
O,Kitco
O,Silver
O,price
O,)
O,•
O,V
O,O
O,US
O,$10.40/lb
O,=
O,US
O,$22.93/kg
O,(
B-M,Vanadium
O,Price
O,)
O,2
O,5
O,•
B-M,Ga
O,US
O,$693.50/kg
O,(
