tag,sentence
O,ASX
O,:
O,TEM
O,2021-05-26
O,|
O,Exploration
O,Update
O,-
O,Broad
O,Gold
O,MineralisationIntercepted
O,at
O,Messenger
O,Exploration
O,Update
O,Broad
O,Gold
O,Mineralisation
O,Intercepted
O,at
O,Messenger
O,Key
O,Points
O,-
O,Discovery
O,of
O,gold
O,in
O,ﬁ
O,rst
O,drilling
O,campaign
O,at
O,theMessenger
O,project.
O,-
O,Gold
O,intercepted
O,within
O,broad
O,mineralisation
O,of
O,upto
O,17m.
O,-
O,Encouraging
O,geochemistry
O,and
O,provides
O,new
O,geological
O,understanding
O,to
O,underpin
O,future
O,drilling
O,programs
O,and
O,further
O,discoveries.
O,-
O,Preparation
O,for
O,drilling
O,at
O,the
O,Euro
O,Project
O,which
O,has
O,substantial
O,historic
O,drilling
O,including
B-D,15m
B-E,at
B-P,2.3gpt
B-E,from
B-D,20m.
O,News
O,Item
O,Tempest
O,Minerals
O,Ltd
O,(
O,ASX
O,:
O,TEM
O,)
O,is
O,pleased
O,to
O,update
O,the
O,market
O,on
O,the
O,latest
O,results
O,and
O,developments
O,from
O,the
O,Company
O,’
O,s
O,projects
O,in
O,the
O,Yalgoo
O,region.
O,The
O,maiden
O,reconnaissance
O,drill
O,campaign
O,at
O,the
O,MessengerProjecthasencounteredgradesofupto0.7gpt
O,gold
O,within
O,thicker
O,zones
O,of
O,mineralisation
O,of
O,up
O,to
B-D,17m.
O,These
O,exciting
O,results
O,con
O,ﬁ
O,rm
O,the
O,presence
O,of
O,signi
O,ﬁ
O,cant
O,gold
O,within
O,the
O,target
O,zones
O,as
O,well
O,asopportunity
O,for
O,further
O,discoveries.
O,Tempest
O,are
O,continuing
O,ongoing
O,ﬁ
O,eldwork
O,within
O,the
O,portfolio
O,including
O,preparing
O,for
O,drilling
O,at
O,the
O,Company
O,’
O,s
O,100%
O,owned
O,Euro
O,Project
O,which
O,has
O,recorded
O,high
O,grade
O,","
O,large
O,scale
O,gold
O,in
O,historicaldrillingby
O,others
